source_repo,source_path,extracted_topic,destination_path,status,notes
Aptitude,Probability.md,Probability,aptitude/quantitative/probability.md,merged,Formulas and practice problems
Aptitude,Permutations_Combinations.md,Permutations and Combinations,aptitude/quantitative/permutations-combinations.md,merged,Formulas and practice problems
Aptitude,Profit_Loss_Discount.md,Profit Loss Discount,aptitude/quantitative/profit-loss-discount.md,merged,Formulas and practice problems
awesome-behavioral-interviews,README.md,Behavioral Interview Guide,behavioral/behavioral-interview-guide.md,merged,STAR method, tips
awesome-behavioral-interviews,README.md,Self Introduction,behavioral/self_intro/self-introduction.md,merged,"Tell me about yourself" examples
awesome-behavioral-interviews,README.md,Teamwork,behavioral/teamwork/teamwork.md,merged,Teamwork questions and answers
awesome-behavioral-interviews,README.md,Leadership,behavioral/leadership/leadership.md,merged,Leadership questions and answers
awesome-behavioral-interviews,README.md,Conflict Resolution,behavioral/conflict_resolution/conflict-resolution.md,merged,Conflict questions and answers
awesome-behavioral-interviews,README.md,Self Introduction Template,templates/self_intro_template.md,completed,Fill-in-blank present-past-future template (NEW FILE)
behavioral-interview-list-of-questions,README.md,Behavioral Interview Guide,behavioral/behavioral-interview-guide.md,merged,Core values and behaviors
behavioral-interview-list-of-questions,README.md,HR Questions,behavioral/hr_questions/hr-questions-bank.md,merged,Behavioral question bank
behavioral-interview-list-of-questions,README.md,Interview Process,interviews/mock_questions/mock-interview-questions.md,merged,Process and assessment tips
behavioral-interview-list-of-questions,README.md,Interview Answer Template,templates/interview_answer_template.md,completed,STAR/CAR fill-in-blank template (NEW FILE)
awesome-interview-questions,README.md,HR Interview Guide,interviews/hr/hr-interview-guide.md,merged,Exit, phone, cultural fit
awesome-interview-questions,README.md,Mock Interview Questions,interviews/mock_questions/mock-interview-questions.md,merged,Analytical, behavioral, technical
interview-handbook-2026,README.md,Behavioral Questions,behavioral/behavioral-interview-guide.md,merged,Teamwork, client-facing, adaptability
interview-handbook-2026,README.md,Technical Questions,interviews/technical/technical-interview-bank.md,merged,DSA, OOPs, DBMS, DevOps
interview-handbook-2026,README.md,Curveball Questions,interviews/mock_questions/mock-interview-questions.md,merged,Personal, revealing, impossible
interview-handbook-2026,README.md,End-of-Interview Questions,interviews/hr/hr-interview-guide.md,merged,Company-specific, role-specific
campus-placement-prep,README.md,Placement Roadmap,placement-roadmap.md,merged,IT company requirements, timeline
campus-placement-prep,README.md,Resume Preparation,templates/resume-template.md,merged,Resume building tips
campus-placement-prep,README.md,Interview Practice,interviews/mock_questions/mock-interview-questions.md,merged,Coding and behavioral tips
campus-placement-prep,README.md,Technical Interview Tips,interviews/technical/technical-interview-bank.md,merged,DSA, OS, DBMS, CN
campus-placement-prep,README.md,Project Discussion,interviews/technical/project-discussion.md,merged,How to present projects in interviews
Placement_Preparation,README.md,Resources Links,resources/links.md,merged,Company-wise materials
Placement_Preparation,INTERVIEW EXPERIENCES/,Interview Experiences,interviews/company_specific/interview-experiences.md,merged,Aggregate log of company experiences
Placement_Preparation,INTERVIEW EXPERIENCES/Tech Mahindra.md,Company Experience,interviews/company_specific/tech-mahindra.md,merged,5-round process
Placement_Preparation,INTERVIEW EXPERIENCES/Schneider Electric India Pvt Ltd.md,Company Experience,interviews/company_specific/schneider-electric.md,merged,Aptitude + GD + Technical
Placement_Preparation,INTERVIEW EXPERIENCES/Musigma.md,Company Experience,interviews/company_specific/mu-sigma.md,merged,3-round process
Placement_Preparation,INTERVIEW EXPERIENCES/Johnson controls.md,Company Experience,interviews/company_specific/johnson-controls.md,merged,Not read yet
Placement_Preparation,INTERVIEW EXPERIENCES/Hubstream.md,Company Experience,interviews/company_specific/hubstream.md,merged,Not read yet
Placement_Preparation,INTERVIEW EXPERIENCES/Hiremi.md,Company Experience,interviews/company_specific/hiremi.md,merged,Not read yet
Placement_Preparation,INTERVIEW EXPERIENCES/Expeditor.md,Company Experience,interviews/company_specific/expeditor.md,merged,Not read yet
Placement_Preparation,INTERVIEW EXPERIENCES/Deltax.md,Company Experience,interviews/company_specific/deltax.md,merged,Not read yet
Placement_Preparation,INTERVIEW EXPERIENCES/Darwin box.md,Company Experience,interviews/company_specific/darwinbox.md,merged,5-round process
Placement_Preparation,INTERVIEW EXPERIENCES/CEI American.md,Company Experience,interviews/company_specific/cei-american.md,merged,Not read yet
GATE_Civil_Study_Material_2027.md,GATE Civil Study Material,GATE Civil Notes,gate/civil/gate-civil-notes.md,merged,Chapter-wise notes and resources
GATE_Civil_Study_Material_2027.md,GATE Civil Study Material,GATE Civil Formulas,gate/formulas/gate-civil-formulas.md,merged,Key formulas for each subject
GATE_Civil_Study_Material_2027.md,GATE Civil Syllabus,GATE Civil Revision Notes,gate/revision_notes/gate-civil-revision.md,completed,Topic-wise revision notes (NEW FILE)
GATE_Civil_Study_Material_2027.md,GATE Civil Syllabus,GATE Civil Practice Problems,gate/practice/gate-civil-practice.md,completed,Practice problems across 13 GATE Civil subjects (NEW FILE)
GATE_Civil_Study_Material_2027.md,GATE Previous Year Papers,Previous Year Papers,resources/paper_list.md,merged,2021-2025 papers
GATE_Civil_Study_Material_2027.md,GATE Recommended Books,Book List,resources/book_list.md,merged,Topic-wise book list
GATE_Civil_Study_Material_2027.md,Best YouTube Channels,Links,resources/links.md,merged,GATE prep channels
GATE_Civil_Study_Material_2027.md,Best Coaching Institutes,Links,resources/links.md,merged,Coaching institutes
Aptitude-For-Placements,README.md,Aptitude Basics,aptitude/quantitative/aptitude-basics.md,merged,Placement-focused aptitude
Aptitude-For-Placements,Time Speed and Distance/,Time Speed Distance,aptitude/quantitative/speed-time-distance.md,merged,Practice problems
Aptitude-For-Placements,Ratio and Proportion/,Ratio and Proportion,aptitude/quantitative/ratio-proportion.md,merged,Practice problems
Aptitude-For-Placements,Percentage/,Percentage,aptitude/quantitative/percentages.md,merged,Practice problems
Aptitude-For-Placements,Probability/,Probability,aptitude/quantitative/probability.md,merged,Practice problems
Aptitude-For-Placements,Time and Work/,Time and Work,aptitude/quantitative/time-work.md,merged,Practice problems
Aptitude-For-Placements,Profit & Loss/,Profit and Loss,aptitude/quantitative/profit-loss-discount.md,merged,Practice problems
Aptitude-For-Placements,Number System/,Number System,aptitude/quantitative/number-system.md,merged,Practice problems
Aptitude-For-Placements,Averages/,Averages,aptitude/quantitative/averages.md,merged,Practice problems
Aptitude-For-Placements,Problem on Ages/,Problem on Ages,aptitude/quantitative/problems-on-ages.md,merged,Practice problems
Aptitude-For-Placements,Partnership/,Partnership,aptitude/quantitative/partnership.md,merged,Practice problems
Aptitude-For-Placements,Problems on Train/,Problems on Train,aptitude/quantitative/problems-on-train.md,merged,Practice problems
index,master_index.md,Repository Index,index/master_index.md,skipped,Generated from topic_map.md
DKS_IITK_Civil_HWRE_Placement_2026,index/topic_map.md,Repository Index,index/topic_map.md,meta,Generated index of topic-to-source-to-destination mappings
DKS_IITK_Civil_HWRE_Placement_2026,index/source_map.csv,Source Mappings,index/source_map.csv,meta,This file: maps all sources to destination files
